"id","PKT_COUNT","PKT_BYTE","FLOW_COUNT","ICMP_COUNT","ICMP_BYTE","ICMP_TYPE","UDP_COUNT","UDP_BYTE","TCP_COUNT","TCP_BYTE","TCP_SYN","HTTP_COUNT","HTTP_GET"
0,1.0900600258856532,1.059653316722043,0.074315,0.767695,0.767695,0.850798,0.23230499999999998,0.23230499999999998,0.0,0.0,0.0,0.0,0.0,0
1,0.8841400591560259,1.003461199988312,0.036255,0.702544,0.702544,0.840327,0.29745600000000005,0.29745600000000005,0.0,0.0,0.0,0.0,0.0,0
2,1.159857009844944,0.9071318570162021,0.024437,0.842828,0.842828,0.778821,0.15717199999999998,0.15717199999999998,0.0,0.0,0.0,0.0,0.0,0
3,1.0193575675398632,0.9981095698231949,0.055443,0.836924,0.836924,0.741723,0.163076,0.163076,0.0,0.0,0.0,0.0,0.0,0
4,1.1485385800137078,0.9044560419336435,0.057539,0.617977,0.617977,0.840132,0.382023,0.382023,0.0,0.0,0.0,0.0,0.0,0
5,1.0133965278287453,0.915159302263878,0.06992,0.675235,0.675235,0.878903,0.32476499999999997,0.32476499999999997,0.0,0.0,0.0,0.0,0.0,0
6,1.0791188770487912,0.8402364799522368,0.02558,0.840161,0.840161,0.724844,0.15983899999999995,0.15983899999999995,0.0,0.0,0.0,0.0,0.0,0
7,0.982082205295658,0.6234954582649894,0.031369,0.753047,0.753047,0.622739,0.24695299999999998,0.24695299999999998,0.0,0.0,0.0,0.0,0.0,0
8,0.873349822716914,0.7653136576405958,0.053672,0.656937,0.656937,0.714259,0.343063,0.343063,0.0,0.0,0.0,0.0,0.0,0
9,0.9863832086315278,0.8402364799522368,0.050146,0.832857,0.832857,0.681104,0.16714300000000004,0.16714300000000004,0.0,0.0,0.0,0.0,0.0,0
10,0.9349220809988398,0.8348848497871196,0.024425,0.780574,0.780574,0.780439,0.219426,0.219426,0.0,0.0,0.0,0.0,0.0,0
11,0.9828367672844072,0.6663084995859272,0.032383,0.675892,0.675892,0.70909,0.32410799999999995,0.32410799999999995,0.0,0.0,0.0,0.0,0.0,0
12,1.0719505381556749,0.8268574045394438,0.050813,0.758702,0.758702,0.790856,0.241298,0.241298,0.0,0.0,0.0,0.0,0.0,0
13,1.1103577433830036,1.0061370150708706,0.056468,0.864492,0.864492,0.837152,0.13550799999999996,0.13550799999999996,0.0,0.0,0.0,0.0,0.0,0
14,1.0238094832734828,1.1372519541162427,0.049924,0.695855,0.695855,0.670799,0.304145,0.304145,0.0,0.0,0.0,0.0,0.0,0
15,0.9634445241735555,0.9017802268510848,0.033874,0.602374,0.602374,0.639501,0.39762600000000003,0.39762600000000003,0.0,0.0,0.0,0.0,0.0,0
16,0.8720670673360404,1.0221919055662223,0.072858,0.727983,0.727983,0.626066,0.27201699999999995,0.27201699999999995,0.0,0.0,0.0,0.0,0.0,0
17,0.9295646908787213,0.770665287805713,0.078209,0.791359,0.791359,0.655756,0.20864099999999997,0.20864099999999997,0.0,0.0,0.0,0.0,0.0,0
